id,state,y,x
0,ADULT_FEMALE_G,185.0,75.0
1,ADULT_FEMALE_G,137.0,261.0
2,ADULT_FEMALE_G,66.0,1.0
3,ADULT_MALE,0.0,222.0
4,JUVENILE,62.0,4.0
5,JUVENILE,62.0,4.0
6,ADULT_FEMALE_G,113.0,177.0
7,JUVENILE,5.0,225.0
8,ADULT_FEMALE_G,59.0,0.0
9,JUVENILE,62.0,4.0
10,JUVENILE,140.0,251.0
11,JUVENILE,5.0,225.0
12,ADULT_FEMALE_G,40.0,19.0
13,ADULT_MALE,1.0,226.0
14,ADULT_MALE,184.0,90.0
15,JUVENILE,62.0,4.0
16,JUVENILE,62.0,4.0
17,JUVENILE,5.0,225.0
18,ADULT_FEMALE_G,255.0,158.0
19,JUVENILE,5.0,225.0
20,ADULT_MALE,3.0,224.0
21,JUVENILE,5.0,225.0
22,JUVENILE,5.0,225.0
23,ADULT_FEMALE_G,7.0,218.0
24,ADULT_MALE,3.0,226.0
25,ADULT_FEMALE_G,3.0,225.0
26,ADULT_MALE,1.0,222.0
27,ADULT_MALE,50.0,4.0
28,JUVENILE,5.0,225.0
29,JUVENILE,5.0,225.0
30,ADULT_FEMALE_G,56.0,1.0
31,JUVENILE,62.0,4.0
32,ADULT_FEMALE_U,46.0,158.0
33,ADULT_FEMALE_U,141.0,3.0
34,JUVENILE,62.0,4.0
35,JUVENILE,62.0,4.0
36,ADULT_FEMALE_G,1.0,202.0
37,JUVENILE,5.0,225.0
38,ADULT_MALE,7.0,223.0
39,ADULT_FEMALE_G,52.0,9.0
40,ADULT_FEMALE_G,0.0,228.0
41,ADULT_FEMALE_G,60.0,7.0
42,ADULT_FEMALE_U,59.0,49.0
43,ADULT_MALE,180.0,86.0
44,ADULT_FEMALE_G,9.0,220.0
45,JUVENILE,5.0,225.0
46,JUVENILE,140.0,251.0
47,ADULT_FEMALE_G,61.0,3.0
48,JUVENILE,62.0,4.0
49,ADULT_MALE,5.0,225.0
50,ADULT_FEMALE_G,42.0,8.0
51,JUVENILE,5.0,225.0
52,JUVENILE,5.0,225.0
53,ADULT_MALE,7.0,224.0
54,ADULT_FEMALE_U,68.0,129.0
55,JUVENILE,140.0,251.0
56,JUVENILE,62.0,4.0
57,ADULT_FEMALE_G,32.0,14.0
58,JUVENILE,5.0,225.0
59,ADULT_FEMALE_U,52.0,25.0
60,JUVENILE,5.0,225.0
61,ADULT_MALE,62.0,3.0
62,ADULT_MALE,52.0,7.0
63,JUVENILE,62.0,4.0
64,JUVENILE,140.0,251.0
65,JUVENILE,5.0,225.0
66,JUVENILE,5.0,225.0
67,JUVENILE,41.0,23.0
68,ADULT_FEMALE_G,137.0,255.0
69,ADULT_FEMALE_G,263.0,137.0
70,ADULT_FEMALE_U,309.0,149.0
71,JUVENILE,62.0,4.0
72,ADULT_FEMALE_G,6.0,213.0
73,JUVENILE,62.0,4.0
74,ADULT_MALE,3.0,219.0
75,ADULT_MALE,4.0,229.0
76,ADULT_FEMALE_U,182.0,84.0
77,ADULT_FEMALE_G,44.0,18.0
78,ADULT_MALE,8.0,221.0
79,ADULT_FEMALE_G,261.0,109.0
80,JUVENILE,5.0,225.0
81,ADULT_FEMALE_U,195.0,82.0
82,ADULT_MALE,55.0,6.0
83,ADULT_FEMALE_U,85.0,142.0
84,JUVENILE,5.0,225.0
85,ADULT_FEMALE_G,142.0,274.0
86,ADULT_MALE,134.0,275.0
87,JUVENILE,62.0,4.0
88,JUVENILE,5.0,225.0
89,ADULT_FEMALE_U,78.0,142.0
90,ADULT_FEMALE_U,72.0,127.0
91,ADULT_FEMALE_G,4.0,212.0
92,ADULT_FEMALE_G,152.0,272.0
93,JUVENILE,5.0,225.0
94,ADULT_FEMALE_G,50.0,7.0
95,JUVENILE,5.0,225.0
96,ADULT_MALE,6.0,223.0
97,JUVENILE,190.0,80.0
98,ADULT_FEMALE_G,48.0,7.0
99,ADULT_FEMALE_G,56.0,7.0
100,ADULT_MALE,4.0,224.0
101,ADULT_FEMALE_G,121.0,273.0
102,ADULT_FEMALE_G,4.0,229.0
103,ADULT_FEMALE_G,7.0,214.0
104,JUVENILE,5.0,225.0
105,JUVENILE,140.0,251.0
