time,J,M,FU,FG,total
0.1,302,986,479,513,2280
0.2,300,975,467,523,2265
0.30000000000000004,297,964,443,542,2246
0.4,295,958,424,557,2234
0.5,297,946,410,569,2222
0.6,293,930,389,583,2195
0.7,295,921,373,593,2182
0.7999999999999999,292,909,362,596,2159
0.8999999999999999,290,898,351,602,2141
0.9999999999999999,283,885,345,606,2119
1.0999999999999999,282,876,331,608,2097
1.2,278,863,325,610,2076
1.3,279,849,315,616,2059
1.4000000000000001,276,844,306,620,2046
1.5000000000000002,276,830,296,624,2026
1.6000000000000003,274,818,292,627,2011
1.7000000000000004,269,814,282,636,2001
1.8000000000000005,266,805,276,637,1984
1.9000000000000006,267,798,273,636,1974
2.0000000000000004,267,792,265,641,1965
2.1000000000000005,268,783,262,641,1954
2.2000000000000006,261,781,258,645,1945
2.3000000000000007,258,776,255,644,1933
2.400000000000001,256,770,247,651,1924
2.500000000000001,256,755,235,657,1903
2.600000000000001,251,749,229,663,1892
2.700000000000001,247,746,228,661,1882
2.800000000000001,247,740,225,662,1874
2.9000000000000012,247,731,222,658,1858
3.0000000000000013,242,725,216,656,1839
3.1000000000000014,237,720,217,655,1829
3.2000000000000015,235,709,211,657,1812
3.3000000000000016,238,700,205,657,1800
3.4000000000000017,236,692,201,656,1785
3.5000000000000018,233,686,199,655,1773
3.600000000000002,233,683,196,654,1766
3.700000000000002,235,676,190,657,1758
3.800000000000002,232,668,188,653,1741
3.900000000000002,231,659,185,651,1726
4.000000000000002,227,652,185,649,1713
4.100000000000001,224,647,181,649,1701
4.200000000000001,222,641,180,650,1693
4.300000000000001,216,629,181,651,1677
4.4,215,624,174,652,1665
4.5,215,613,173,649,1650
4.6,212,610,170,646,1638
4.699999999999999,212,607,167,640,1626
4.799999999999999,211,607,165,643,1626
4.899999999999999,210,602,160,642,1614
4.999999999999998,205,598,160,643,1606
5.099999999999998,205,593,156,643,1597
5.1999999999999975,206,585,150,647,1588
5.299999999999997,206,574,149,646,1575
5.399999999999997,204,572,145,647,1568
5.4999999999999964,204,566,143,646,1559
5.599999999999996,202,565,144,640,1551
5.699999999999996,199,556,145,639,1539
5.799999999999995,200,551,143,636,1530
5.899999999999995,199,542,142,635,1518
5.999999999999995,197,541,139,636,1513
6.099999999999994,197,540,136,634,1507
6.199999999999994,195,537,135,633,1500
6.299999999999994,192,531,132,635,1490
6.399999999999993,194,527,131,631,1483
6.499999999999993,192,524,131,631,1478
6.5999999999999925,190,525,131,626,1472
6.699999999999992,190,523,131,620,1464
6.799999999999992,185,514,129,619,1447
6.8999999999999915,183,508,126,617,1434
6.999999999999991,182,502,124,616,1424
7.099999999999991,182,501,124,612,1419
7.19999999999999,185,495,122,608,1410
7.29999999999999,185,490,118,608,1401
7.39999999999999,185,487,117,608,1397
7.499999999999989,184,479,117,603,1383
7.599999999999989,185,476,116,599,1376
7.699999999999989,186,474,113,599,1372
7.799999999999988,185,474,111,600,1370
7.899999999999988,183,468,111,596,1358
7.999999999999988,183,467,109,593,1352
8.099999999999987,186,462,108,589,1345
8.199999999999987,188,455,106,591,1340
8.299999999999986,188,447,102,590,1327
8.399999999999986,182,440,103,589,1314
8.499999999999986,184,437,101,587,1309
8.599999999999985,185,434,98,581,1298
8.699999999999985,190,431,97,580,1298
8.799999999999985,191,425,96,575,1287
8.899999999999984,194,420,96,573,1283
8.999999999999984,192,409,97,565,1263
9.099999999999984,189,409,98,564,1260
9.199999999999983,194,401,97,562,1254
9.299999999999983,193,398,94,566,1251
9.399999999999983,190,394,94,563,1241
9.499999999999982,191,391,89,562,1233
9.599999999999982,189,392,89,559,1229
9.699999999999982,191,392,90,557,1230
9.799999999999981,193,387,88,554,1222
9.89999999999998,195,383,88,551,1217
9.99999999999998,196,377,85,552,1210
10.09999999999998,198,372,82,552,1204
10.19999999999998,199,364,81,550,1194
10.29999999999998,200,359,81,550,1190
10.399999999999979,201,359,80,550,1190
10.499999999999979,204,356,79,546,1185
10.599999999999978,207,348,79,541,1175
10.699999999999978,207,348,80,539,1174
10.799999999999978,209,344,78,541,1172
10.899999999999977,206,343,79,536,1164
10.999999999999977,205,343,78,532,1158
11.099999999999977,204,340,78,530,1152
11.199999999999976,203,338,79,522,1142
