,N_total_final,N_FG_mean,peak_total,N_J_mean,extinction
$\mu_J$ (mort. juvenil),-0.32105480608477865,-0.05138885656475794,-0.6999652511964377,-0.4624542024576505,0.14827808624210595
$\mu_M$ (mort. macho),-0.5184452586477413,0.027489594031101867,-0.6734987368470888,-0.1005109288532118,0.43764105219051264
$\mu_F$ (mort. hembra),-0.792196645480668,-0.9015213892935751,-0.7169009071227483,-0.6697177712910453,0.4691386264122765
$\gamma$ (maduración),0.3123839828432836,0.4072840352730747,0.26981676368161167,-0.23191001590682891,-0.10530400173657928
$\alpha$ (compet. larval),0.006970858619368199,0.07981886529046446,-0.09969304791684366,0.08539978722890389,0.184257498390402
$K_c$ (cap. de carga),-0.05072667138235619,0.005535535551247223,-0.2226289367096133,-0.29480928022584973,-0.027757577762387527
$\beta$ (apaream.),0.3446093393142486,0.33244039392483815,0.624305012892421,0.5256882334782846,-0.04880083108129926
$f$ (oviposición),-0.14947179837528582,0.10196886690217913,-0.12909565832420272,-0.0011110352236238241,0.1599016389950131
$r_m$ (radio apaream.),0.47752847591024344,0.47560777012638705,0.7181786330497386,0.5624477504727738,-0.3237868957772945
$r_d$ (radio densidad),-0.12601767191116078,-0.1833052523190447,-0.41037913981112223,-0.2203246983910703,-0.03015049845191996
$r_o$ (radio ovipos.),0.3799034269239904,0.46616410364070837,0.7283275671913417,0.542084283369452,-0.12152628069966195
$R$ (radio movim.),-0.3358029068256341,-0.3106930515094548,0.05732703700044468,-0.44806543138840493,0.1440062739100638
$\beta_0$ (sesgo explor.),0.039539224591919504,-0.07447452440060495,-0.10114457728438708,-0.06124418101996003,-0.24073577183976105
