N°,N° Planilla,N° Muestreo,Latitud,Longitud,Tipo de coordenada,Observación 1,Barrio,Código Manzana,Fecha de Instalación,Lugar de Instalación,Fecha de Retiro,Código de Paleta,Observación 2,Viables,Eclosionados,Inviables,Eclosionados+Inviables,Total,Observación 3,IPO,IDH,IMO,IIV,IB,IR
9838,0,60,-25.233499,-57.572818,1,Coordenada exacta,ZEBALLOS CUE,59720,29/04/2024,DETRAS DE LA PLANTERA,06/05/2024,Z1,NINGUNA,19,19,44,63,82,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9839,0,60,-25.2335,-57.5729895,2,Aproximadas por centroide,ZEBALLOS CUE,59570,29/04/2024,ABAJO DEL COCO,06/05/2024,Z2,NINGUNA,1,4,8,12,13,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9840,0,60,-25.233501,-57.573161,1,Coordenada exacta,ZEBALLOS CUE,59480,29/04/2024,ENTRE LAS PLANTAS,06/05/2024,Z3,NINGUNA,81,4,10,14,95,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9841,0,60,-25.233502,-57.572197,1,Coordenada exacta,ZEBALLOS CUE,59080,29/04/2024,EN LA PLANTERA,06/05/2024,Z4,NINGUNA,62,12,27,39,101,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9842,0,60,-25.233503,-57.574139,1,Coordenada exacta,ZEBALLOS CUE,58840,29/04/2024,ABAJO DE LA PLANTERA,06/05/2024,Z5,NINGUNA,10,15,34,49,59,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9843,0,60,-25.233504,-57.574261,1,Coordenada exacta,ZEBALLOS CUE,59110,29/04/2024,ENTRE LA PLANTA,06/05/2024,Z6,NINGUNA,35,16,37,53,88,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9844,0,60,-25.233505,-57.575685,1,Coordenada exacta,ZEBALLOS CUE,50,29/04/2024,ENTRE PLANTERA,06/05/2024,Z7,NINGUNA,12,26,58,84,96,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9845,0,60,-25.233506,-57.575179,1,Coordenada exacta,ZEBALLOS CUE,59310,29/04/2024,ENTRE PALMERA,06/05/2024,Z8,NINGUNA,6,5,10,15,21,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9846,0,60,-25.233507,-57.576843,1,Coordenada exacta,ZEBALLOS CUE,59190,29/04/2024,ENTRE PLANTERA,06/05/2024,Z9,NINGUNA,13,2,6,8,21,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9847,0,60,-25.233508,-57.577576,1,Coordenada exacta,ZEBALLOS CUE,62310,29/04/2024,DEBAJO DE LA CHAPA,06/05/2024,Z10,NINGUNA,8,5,10,15,23,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9848,0,60,-25.233509,-57.574988,1,Coordenada exacta,ZEBALLOS CUE,59750,29/04/2024,ENTRE PLANTA,06/05/2024,Z11,NINGUNA,1,6,14,20,21,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9849,0,60,-25.23351,-57.573574,1,Coordenada exacta,ZEBALLOS CUE,59920,29/04/2024,DETRAS DEL MANGO,06/05/2024,Z12,NINGUNA,5,0,1,1,6,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9850,0,60,-25.233511,-57.573922,1,Coordenada exacta,ZEBALLOS CUE,60050,29/04/2024,ENTRE LAS PALMERAS,06/05/2024,Z13,NINGUNA,0,1,1,2,2,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9851,0,60,-25.233512,-57.571064,1,Coordenada exacta,ZEBALLOS CUE,59920,29/04/2024,DETRAS DE LA PLANTERA,06/05/2024,Z14,NINGUNA,25,1,1,2,27,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
9852,0,60,-25.233513,-57.571319,1,Coordenada exacta,ZEBALLOS CUE,59600,29/04/2024,ENTRE LA PLANTA,06/05/2024,Z15,NINGUNA,49,14,33,47,96,Cantidad de huevos eclosionados e inviables estimados a través de un ajuste matemático.,,,,,,
