number,value,datetime_start,datetime_complete,duration,params_box,params_cls,params_dfl,params_fliplr,params_flipud,params_hsv_h,params_hsv_s,params_hsv_v,params_lr0,params_lrf,params_mixup,params_momentum,params_mosaic,params_warmup_epochs,params_weight_decay,state
0,0.9499312583413585,2026-03-27 11:52:51.686066,2026-03-27 12:18:19.299928,0 days 00:25:27.613862,0.10152990802542688,0.41166019044286106,1.4590819991684483,0.5924605095141455,0.2949539186584882,0.035067519575729005,0.4423464487411177,0.3997584247097817,0.001107225705076054,0.26452086309946793,0.1702105633114431,0.8246494983394298,0.6905465830820443,2.7179864005964096,0.0005767614917142247,COMPLETE
1,0.9401290506795612,2026-03-27 12:18:19.316008,2026-03-27 14:24:54.717375,0 days 02:06:35.401367,0.07305614794850487,0.4138931543735102,0.987816068558496,0.3384361732487288,0.1963688914837306,0.04314520425505195,0.45902856853077706,0.7140298516912418,0.0009289066520681525,0.32843587997380486,0.24280916677314696,0.9703200748012986,0.9938998121240741,1.0967336882555498,8.034482834856468e-05,COMPLETE
2,0.944327321258607,2026-03-27 14:24:54.730542,2026-03-27 15:44:15.381627,0 days 01:19:20.651085,0.12997252485959004,0.2507343235564718,1.1815269184302215,0.4567447473115302,0.22380386272420763,0.037791808826606425,0.6918857871668563,0.6079351427446844,0.0038988005094514203,0.29702912324250746,0.15448033840017653,0.8047546762073193,0.7810514353148414,1.3725054789830347,0.00038410863281578407,COMPLETE
3,0.9444171239140287,2026-03-27 15:44:15.424457,2026-03-27 16:32:19.263278,0 days 00:48:03.838821,0.12987757744009892,0.5090930107360794,1.1129836545849445,0.37377957103701603,0.15453678908378102,0.037682022452432934,0.2331372564256175,0.7851881348758543,0.0068457255327114405,0.42581695356503246,0.196621135581748,0.8676924004605218,0.9024645363742336,2.988734483118526,4.4921617608833825e-05,COMPLETE
4,0.9477027171992201,2026-03-27 16:32:19.279367,2026-03-27 17:54:35.875592,0 days 01:22:16.596225,0.08237733415310843,0.44946479292093333,1.3949395350506695,0.6551276294322131,0.16064096217921855,0.008323033777312588,0.45534496435504235,0.32106753107284997,0.025593976139049887,0.31238130232820277,0.14867550327020632,0.7998161302237662,0.762947119420525,2.4772521795229943,0.0008548769583539661,COMPLETE
5,0.9464099597323972,2026-03-27 17:54:35.886798,2026-03-27 19:20:20.158537,0 days 01:25:44.271739,0.06115504368114141,0.2843037587279674,0.9684410293906813,0.544593790189644,0.10930265020295045,0.02294000551029341,0.5846759612764083,0.37481854353458066,0.0010117376113509575,0.3361422165476698,0.0701105098301203,0.9030665718073128,0.8871414904976833,1.4582893085598836,4.960773545118719e-05,COMPLETE
6,0.9524341590480717,2026-03-27 19:20:20.158537,2026-03-27 22:57:49.363646,0 days 03:37:29.205109,0.07167925234814577,0.5181390629923985,0.925979608444969,0.3925253179336774,0.20550859339382527,0.03482896763174359,0.43632258074505115,0.33999990971197375,0.012762410195876367,0.20014212545188692,0.24954677883841403,0.9509422342626865,0.677060936587803,1.778623519269261,0.0006190203102090874,COMPLETE
7,0.9586717796527189,2026-03-27 22:57:49.411383,2026-03-27 23:47:31.193156,0 days 00:49:41.781773,0.06315123543403493,0.5309216170172154,1.2081543054870725,0.5970582903731213,0.2898199451028034,0.0042698850004469,0.23971079520684688,0.416277094275692,0.013386005035891355,0.1037591506340606,0.11140072380394486,0.8075857262537981,0.5455380777393337,1.8268108195437376,5.847409716934274e-05,COMPLETE
8,0.9452436626643334,2026-03-27 23:47:31.208880,2026-03-28 11:41:20.980842,0 days 11:53:49.771962,0.0868170852911995,0.48788235506205313,1.0270428082119556,0.686542656992702,0.0685337732964897,0.04874792374563546,0.32958847655294854,0.4194183748338788,0.005497047296434182,0.45254136942257556,0.1263683097752981,0.8995156455543349,0.7814919472933651,0.22340739581751146,8.111977714278134e-05,COMPLETE
9,0.9423402998531639,2026-03-28 11:41:20.992073,2026-03-28 12:29:09.385833,0 days 00:47:48.393760,0.14415926938798446,0.43710096026883005,0.8950584534766598,0.41036552801711546,0.16296267604245096,0.02666147240570413,0.44089960002306344,0.33585476635628675,0.012794079835155906,0.37423007927584184,0.18839654349381227,0.7369632855288473,0.6104241350386468,2.4924093388403072,0.00034329424641268297,COMPLETE
10,0.9508957357381727,2026-03-28 12:29:09.400718,2026-03-28 12:50:09.088672,0 days 00:20:59.687954,0.05375562584232381,0.5969156179659687,1.2779630543239582,0.5911294989167447,0.0038171615189460106,0.0010763075765007147,0.25512524415944404,0.21448934415378532,0.00029844828504782685,0.06274515756418308,0.0038372065881115136,0.7242980000884758,0.5209994327986472,0.5148074389124961,1.2967473959684364e-05,COMPLETE
11,0.9454509963391431,2026-03-28 12:50:09.101671,2026-03-28 13:11:50.293936,0 days 00:21:41.192265,0.09637684860933649,0.5788483287249375,0.8185300204468406,0.4849849532064291,0.28227504465352526,0.017067836390270315,0.3215335596965775,0.5377690339916571,0.049772225045486326,0.15405845262970236,0.28997248241536044,0.972859385725891,0.5142366752567124,1.9526544817638536,0.00018900085475726606,COMPLETE
12,0.9615444615172214,2026-03-28 13:11:50.293936,2026-03-28 13:33:37.318033,0 days 00:21:47.024097,0.06872920116101496,0.32114448597792444,1.2323395769039525,0.31546516365489535,0.24077766821164331,0.012158088321932208,0.797330394082535,0.21812242653484779,0.013831967682430026,0.17612437876675857,0.09020533248414121,0.7758228997537245,0.6306304790338597,1.8779054616510722,2.0330645579668605e-05,COMPLETE
13,0.9625464646506183,2026-03-28 13:33:37.349542,2026-03-28 13:55:04.736155,0 days 00:21:27.386613,0.06327192290868257,0.3162443525474672,1.2730971270276266,0.30073783094961926,0.25130564162403757,0.008300184556009194,0.6966740517122897,0.20147188181005785,0.02083962898585293,0.06850307010373329,0.08561826715738484,0.7630489957390999,0.595996215996747,2.066663698741294,1.449906770224437e-05,COMPLETE
14,0.9600162852944614,2026-03-28 13:55:04.757779,2026-03-28 14:22:06.710747,0 days 00:27:01.952968,0.051558355126315,0.3370832763931713,1.3248683242940456,0.31653422295573436,0.24628679370467088,0.01293603366039791,0.7974224344688394,0.2057118582747816,0.047173954729144596,0.19307879643437606,0.05734766746281083,0.7552849757197815,0.6189490702504307,2.175808515377467,1.2607616377963751e-05,COMPLETE
