id,state,y,x
0,ADULT_MALE,3.0,230.0
1,ADULT_FEMALE_G,51.0,1.0
2,ADULT_MALE,57.0,5.0
3,JUVENILE,285.0,178.0
4,ADULT_FEMALE_G,8.0,171.0
5,ADULT_FEMALE_G,299.0,187.0
6,ADULT_FEMALE_G,6.0,209.0
7,ADULT_FEMALE_G,8.0,207.0
8,ADULT_MALE,2.0,212.0
9,JUVENILE,5.0,225.0
10,JUVENILE,11.0,169.0
11,JUVENILE,11.0,169.0
12,ADULT_FEMALE_G,301.0,175.0
13,ADULT_FEMALE_G,291.0,150.0
14,ADULT_MALE,4.0,170.0
15,JUVENILE,307.0,173.0
16,ADULT_MALE,8.0,162.0
17,ADULT_FEMALE_G,8.0,168.0
18,ADULT_FEMALE_G,61.0,5.0
19,JUVENILE,5.0,225.0
20,ADULT_FEMALE_G,10.0,165.0
21,ADULT_FEMALE_G,21.0,180.0
22,ADULT_MALE,286.0,174.0
23,JUVENILE,62.0,4.0
24,JUVENILE,284.0,175.0
25,ADULT_FEMALE_G,285.0,175.0
26,JUVENILE,285.0,178.0
27,JUVENILE,62.0,4.0
28,ADULT_MALE,58.0,8.0
29,ADULT_FEMALE_G,13.0,164.0
30,JUVENILE,5.0,225.0
31,ADULT_FEMALE_G,6.0,172.0
32,ADULT_FEMALE_G,7.0,166.0
33,ADULT_MALE,41.0,23.0
34,JUVENILE,11.0,169.0
35,JUVENILE,5.0,225.0
36,JUVENILE,307.0,173.0
37,ADULT_MALE,10.0,160.0
38,ADULT_FEMALE_G,9.0,162.0
39,JUVENILE,11.0,169.0
40,ADULT_MALE,54.0,5.0
41,JUVENILE,11.0,169.0
42,ADULT_MALE,8.0,168.0
43,ADULT_FEMALE_G,9.0,212.0
44,ADULT_FEMALE_G,45.0,32.0
45,ADULT_FEMALE_G,56.0,10.0
46,ADULT_FEMALE_G,8.0,168.0
47,ADULT_MALE,66.0,2.0
48,ADULT_FEMALE_G,7.0,172.0
49,ADULT_MALE,3.0,183.0
50,ADULT_FEMALE_G,292.0,180.0
51,JUVENILE,285.0,178.0
52,ADULT_MALE,287.0,166.0
53,ADULT_FEMALE_G,13.0,173.0
54,ADULT_FEMALE_G,64.0,0.0
55,ADULT_FEMALE_G,2.0,208.0
56,ADULT_MALE,317.0,163.0
57,ADULT_FEMALE_G,278.0,123.0
58,JUVENILE,11.0,169.0
59,JUVENILE,62.0,4.0
60,ADULT_MALE,11.0,163.0
61,ADULT_MALE,7.0,223.0
62,ADULT_FEMALE_G,3.0,224.0
63,JUVENILE,62.0,4.0
64,JUVENILE,5.0,225.0
65,JUVENILE,62.0,4.0
66,ADULT_FEMALE_G,318.0,178.0
67,JUVENILE,285.0,178.0
68,JUVENILE,5.0,225.0
69,ADULT_FEMALE_G,7.0,221.0
70,ADULT_FEMALE_G,7.0,216.0
71,JUVENILE,5.0,225.0
72,JUVENILE,11.0,169.0
73,ADULT_FEMALE_G,12.0,166.0
74,ADULT_FEMALE_G,15.0,164.0
75,ADULT_MALE,6.0,169.0
76,JUVENILE,11.0,169.0
77,JUVENILE,5.0,225.0
78,JUVENILE,11.0,169.0
79,JUVENILE,11.0,169.0
80,ADULT_FEMALE_G,10.0,163.0
81,ADULT_MALE,8.0,212.0
82,ADULT_FEMALE_G,51.0,1.0
83,ADULT_FEMALE_G,1.0,222.0
84,JUVENILE,41.0,23.0
85,JUVENILE,5.0,225.0
86,JUVENILE,11.0,169.0
87,JUVENILE,62.0,4.0
88,ADULT_MALE,11.0,165.0
89,ADULT_FEMALE_G,47.0,5.0
90,ADULT_MALE,310.0,166.0
91,ADULT_FEMALE_G,6.0,167.0
92,JUVENILE,62.0,4.0
93,JUVENILE,11.0,169.0
94,JUVENILE,62.0,4.0
95,ADULT_FEMALE_G,2.0,230.0
96,ADULT_FEMALE_G,11.0,162.0
97,JUVENILE,5.0,225.0
98,JUVENILE,41.0,23.0
99,JUVENILE,284.0,175.0
100,JUVENILE,5.0,225.0
101,JUVENILE,307.0,173.0
102,JUVENILE,5.0,225.0
103,ADULT_FEMALE_G,60.0,18.0
