time,J,M,FU,FG,total
0.1,297,1475,951,1036,3759
0.2,296,1460,885,1090,3731
0.30000000000000004,290,1455,850,1114,3709
0.4,290,1438,805,1151,3684
0.5,287,1422,771,1166,3646
0.6,285,1415,729,1198,3627
0.7,278,1401,695,1225,3599
0.7999999999999999,274,1381,671,1242,3568
0.8999999999999999,277,1358,642,1265,3542
0.9999999999999999,273,1341,614,1283,3511
1.0999999999999999,270,1330,582,1310,3492
1.2,270,1314,546,1329,3459
1.3,269,1298,527,1342,3436
1.4000000000000001,270,1280,499,1358,3407
1.5000000000000002,266,1271,487,1359,3383
1.6000000000000003,265,1268,459,1373,3365
1.7000000000000004,265,1252,445,1379,3341
1.8000000000000005,264,1240,425,1394,3323
1.9000000000000006,264,1232,412,1396,3304
2.0000000000000004,264,1212,387,1413,3276
2.1000000000000005,259,1199,374,1422,3254
2.2000000000000006,255,1181,360,1431,3227
2.3000000000000007,255,1177,355,1429,3216
2.400000000000001,253,1163,342,1431,3189
2.500000000000001,253,1154,334,1432,3173
2.600000000000001,255,1144,322,1436,3157
2.700000000000001,255,1135,315,1441,3146
2.800000000000001,254,1127,307,1438,3126
2.9000000000000012,252,1120,296,1440,3108
3.0000000000000013,251,1110,285,1438,3084
3.1000000000000014,250,1100,278,1436,3064
3.2000000000000015,252,1088,274,1435,3049
3.3000000000000016,251,1077,264,1429,3021
3.4000000000000017,252,1066,256,1433,3007
3.5000000000000018,256,1051,248,1435,2990
3.600000000000002,254,1032,243,1430,2959
3.700000000000002,251,1026,237,1429,2943
3.800000000000002,247,1015,236,1424,2922
3.900000000000002,245,1004,228,1426,2903
4.000000000000002,247,992,223,1427,2889
4.100000000000001,252,979,218,1421,2870
4.200000000000001,254,977,209,1423,2863
4.300000000000001,250,970,210,1419,2849
4.4,255,960,201,1421,2837
4.5,255,952,198,1420,2825
4.6,255,946,192,1415,2808
4.699999999999999,259,944,187,1409,2799
4.799999999999999,258,935,184,1406,2783
4.899999999999999,259,929,177,1404,2769
4.999999999999998,255,924,174,1397,2750
5.099999999999998,253,915,167,1392,2727
5.1999999999999975,250,909,166,1390,2715
5.299999999999997,251,901,166,1378,2696
5.399999999999997,249,887,165,1371,2672
5.4999999999999964,250,876,165,1356,2647
5.599999999999996,249,866,163,1353,2631
5.699999999999996,251,855,159,1354,2619
5.799999999999995,253,849,153,1347,2602
5.899999999999995,250,836,150,1341,2577
5.999999999999995,249,824,150,1337,2560
6.099999999999994,250,818,147,1329,2544
6.199999999999994,251,806,146,1319,2522
6.299999999999994,252,800,141,1313,2506
6.399999999999993,254,792,142,1305,2493
6.499999999999993,253,785,141,1297,2476
6.5999999999999925,256,775,138,1296,2465
6.699999999999992,258,765,134,1295,2452
6.799999999999992,256,759,131,1289,2435
6.8999999999999915,258,744,127,1281,2410
6.999999999999991,258,737,127,1273,2395
7.099999999999991,257,730,124,1261,2372
7.19999999999999,259,726,119,1256,2360
7.29999999999999,256,720,118,1253,2347
7.39999999999999,256,711,116,1250,2333
7.499999999999989,252,707,113,1244,2316
7.599999999999989,254,698,113,1239,2304
7.699999999999989,249,692,110,1232,2283
7.799999999999988,246,693,109,1226,2274
7.899999999999988,241,686,109,1221,2257
7.999999999999988,239,682,104,1219,2244
8.099999999999987,230,680,106,1211,2227
8.199999999999987,233,668,106,1201,2208
8.299999999999986,233,660,106,1195,2194
8.399999999999986,232,654,102,1193,2181
8.499999999999986,233,650,100,1189,2172
8.599999999999985,237,643,99,1179,2158
8.699999999999985,238,633,98,1173,2142
8.799999999999985,235,625,97,1165,2122
8.899999999999984,240,616,96,1154,2106
8.999999999999984,240,611,96,1148,2095
9.099999999999984,240,603,96,1144,2083
9.199999999999983,241,598,96,1138,2073
9.299999999999983,243,594,95,1138,2070
9.399999999999983,243,587,95,1131,2056
9.499999999999982,242,580,91,1124,2037
9.599999999999982,243,573,87,1120,2023
9.699999999999982,244,568,86,1114,2012
9.799999999999981,243,560,88,1109,2000
9.89999999999998,241,554,88,1105,1988
9.99999999999998,237,550,89,1096,1972
10.09999999999998,238,548,89,1093,1968
10.19999999999998,239,536,88,1086,1949
10.29999999999998,240,534,86,1079,1939
10.399999999999979,240,530,84,1074,1928
10.499999999999979,239,524,83,1068,1914
10.599999999999978,237,524,85,1063,1909
10.699999999999978,239,518,85,1061,1903
10.799999999999978,240,517,85,1054,1896
10.899999999999977,240,511,83,1052,1886
10.999999999999977,235,508,84,1048,1875
11.099999999999977,235,505,82,1042,1864
11.199999999999976,234,498,80,1036,1848
11.299999999999976,234,498,77,1035,1844
11.399999999999975,232,493,77,1029,1831
11.499999999999975,231,484,76,1025,1816
11.599999999999975,234,475,74,1021,1804
11.699999999999974,232,475,73,1013,1793
11.799999999999974,234,472,68,1014,1788
11.899999999999974,232,467,65,1008,1772
11.999999999999973,232,468,63,999,1762
12.099999999999973,231,468,62,996,1757
12.199999999999973,227,463,64,991,1745
12.299999999999972,232,460,62,984,1738
12.399999999999972,231,457,62,979,1729
12.499999999999972,233,450,60,977,1720
12.599999999999971,233,442,61,974,1710
12.69999999999997,234,436,59,971,1700
12.79999999999997,233,431,57,967,1688
12.89999999999997,228,430,60,961,1679
12.99999999999997,227,425,61,954,1667
13.09999999999997,228,420,61,950,1659
13.199999999999969,231,412,60,948,1651
13.299999999999969,229,408,59,938,1634
13.399999999999968,230,403,61,937,1631
13.499999999999968,235,396,60,935,1626
13.599999999999968,231,394,62,934,1621
13.699999999999967,229,391,64,927,1611
13.799999999999967,231,381,61,919,1592
13.899999999999967,233,376,60,913,1582
13.999999999999966,232,373,61,902,1568
14.099999999999966,228,372,61,897,1558
14.199999999999966,228,371,60,889,1548
14.299999999999965,223,370,58,883,1534
14.399999999999965,223,366,57,882,1528
14.499999999999964,225,361,58,877,1521
14.599999999999964,228,358,57,877,1520
14.699999999999964,228,355,58,871,1512
14.799999999999963,232,353,59,866,1510
14.899999999999963,237,350,59,861,1507
14.999999999999963,238,345,58,857,1498
15.099999999999962,241,340,59,852,1492
15.199999999999962,240,336,57,842,1475
15.299999999999962,235,334,58,840,1467
15.399999999999961,236,325,59,839,1459
15.499999999999961,238,323,59,832,1452
15.59999999999996,240,316,60,829,1445
15.69999999999996,238,314,60,818,1430
15.79999999999996,237,311,61,818,1427
15.89999999999996,239,311,60,814,1424
15.99999999999996,240,306,59,811,1416
16.09999999999996,236,304,60,806,1406
16.19999999999996,238,300,60,803,1401
16.29999999999996,238,299,59,801,1397
16.399999999999963,238,297,61,799,1395
16.499999999999964,237,292,60,797,1386
16.599999999999966,239,290,60,796,1385
16.699999999999967,237,291,62,795,1385
16.79999999999997,236,288,64,794,1382
16.89999999999997,242,286,65,790,1383
16.99999999999997,243,284,64,786,1377
17.099999999999973,243,277,64,783,1367
17.199999999999974,243,273,64,778,1358
17.299999999999976,244,271,66,772,1353
17.399999999999977,244,271,65,769,1349
17.49999999999998,245,269,67,764,1345
17.59999999999998,244,267,66,759,1336
17.69999999999998,244,266,68,755,1333
17.799999999999983,247,261,69,753,1330
17.899999999999984,246,260,67,750,1323
17.999999999999986,247,257,64,748,1316
18.099999999999987,244,256,65,744,1309
18.19999999999999,240,256,67,742,1305
18.29999999999999,241,257,62,739,1299
18.39999999999999,239,253,59,738,1289
18.499999999999993,237,250,58,735,1280
18.599999999999994,237,248,57,734,1276
18.699999999999996,236,246,57,731,1270
18.799999999999997,240,244,58,723,1265
18.9,238,240,62,717,1257
19.0,241,234,61,712,1248
19.1,243,232,62,708,1245
19.200000000000003,239,233,63,703,1238
19.300000000000004,239,230,62,700,1231
19.400000000000006,236,231,64,696,1227
19.500000000000007,236,227,65,690,1218
19.60000000000001,234,224,63,687,1208
19.70000000000001,229,217,61,683,1190
19.80000000000001,228,216,60,678,1182
19.900000000000013,224,214,59,678,1175
20.000000000000014,224,214,59,674,1171
20.100000000000016,223,213,57,667,1160
20.200000000000017,221,212,58,665,1156
20.30000000000002,221,213,59,663,1156
20.40000000000002,217,214,57,662,1150
20.50000000000002,217,212,57,661,1147
20.600000000000023,219,210,55,662,1146
20.700000000000024,219,208,54,658,1139
20.800000000000026,219,207,54,654,1134
20.900000000000027,218,207,53,650,1128
21.00000000000003,221,205,51,648,1125
21.10000000000003,224,206,49,648,1127
21.20000000000003,221,205,50,642,1118
21.300000000000033,218,204,51,639,1112
21.400000000000034,217,204,49,637,1107
21.500000000000036,221,203,49,632,1105
21.600000000000037,221,201,49,627,1098
21.70000000000004,219,200,49,625,1093
21.80000000000004,218,197,49,623,1087
21.90000000000004,214,196,51,619,1080
22.000000000000043,214,194,51,618,1077
22.100000000000044,212,192,51,612,1067
22.200000000000045,213,191,52,608,1064
22.300000000000047,213,189,53,606,1061
22.40000000000005,218,187,53,600,1058
22.50000000000005,218,184,52,599,1053
22.60000000000005,218,182,52,596,1048
22.700000000000053,222,180,51,593,1046
22.800000000000054,216,181,54,594,1045
22.900000000000055,214,182,53,592,1041
23.000000000000057,214,180,55,589,1038
