epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,847.411,0.01624,1.20603,1.27082,0.87816,0.76802,0.87384,0.49272,0.01121,1.15994,0.91336,0.0174203,0.00580676,0.0174203,0.00580676,0.0174203,0.00580676,0.0174203,0.00580676
2,1419.55,0.01626,1.07519,1.27207,0.81141,0.74772,0.8189,0.43992,0.01238,2.72856,0.98987,0.0298659,0.00995529,0.0298659,0.00995529,0.0298659,0.00995529,0.0298659,0.00995529
3,1821.72,0.01634,1.04039,1.29041,0.76001,0.81239,0.82473,0.45053,0.01225,5.29981,0.99024,0.0297317,0.00991057,0.0297317,0.00991057,0.0297317,0.00991057,0.0297317,0.00991057
4,2380.71,0.01584,0.98248,1.28959,0.86073,0.79364,0.8801,0.50903,0.0113,0.65374,0.95221,0.0295976,0.00986586,0.0295976,0.00986586,0.0295976,0.00986586,0.0295976,0.00986586
5,2942.95,0.01561,0.9552,1.28257,0.86108,0.81854,0.88279,0.51108,0.01142,3.70622,0.94252,0.0294634,0.00982115,0.0294634,0.00982115,0.0294634,0.00982115,0.0294634,0.00982115
6,3528.39,0.01541,0.926,1.2573,0.8921,0.83578,0.89941,0.532,0.01121,1.13885,0.95228,0.0293293,0.00977643,0.0293293,0.00977643,0.0293293,0.00977643,0.0293293,0.00977643
7,4091.41,0.01522,0.89886,1.25063,0.87686,0.84791,0.91138,0.52572,0.01134,2.59286,0.94669,0.0291952,0.00973172,0.0291952,0.00973172,0.0291952,0.00973172,0.0291952,0.00973172
8,4428.75,0.01497,0.86714,1.23795,0.9059,0.85049,0.92244,0.55152,0.01056,0.68941,0.8922,0.029061,0.00968701,0.029061,0.00968701,0.029061,0.00968701,0.029061,0.00968701
9,4532.88,0.01489,0.85655,1.23354,0.90506,0.88558,0.92927,0.56311,0.01067,2.08552,0.90278,0.0289269,0.00964229,0.0289269,0.00964229,0.0289269,0.00964229,0.0289269,0.00964229
10,4633.72,0.01478,0.83931,1.22604,0.90723,0.89162,0.94673,0.58257,0.01049,0.71246,0.89824,0.0287927,0.00959758,0.0287927,0.00959758,0.0287927,0.00959758,0.0287927,0.00959758
11,4731.86,0.0147,0.83236,1.22682,0.92677,0.88751,0.95342,0.59464,0.01024,0.68527,0.89436,0.0286586,0.00955286,0.0286586,0.00955286,0.0286586,0.00955286,0.0286586,0.00955286
12,5751.9,0.01453,0.81002,1.21811,0.90942,0.89606,0.94521,0.59214,0.01029,0.53613,0.90298,0.0285245,0.00950815,0.0285245,0.00950815,0.0285245,0.00950815,0.0285245,0.00950815
13,5845.22,0.01448,0.80701,1.21413,0.90745,0.91712,0.95019,0.60018,0.00991,0.57647,0.85427,0.0283903,0.00946344,0.0283903,0.00946344,0.0283903,0.00946344,0.0283903,0.00946344
14,5938.62,0.01443,0.80092,1.21207,0.92394,0.9071,0.95147,0.608,0.01004,0.53037,0.86512,0.0282562,0.00941872,0.0282562,0.00941872,0.0282562,0.00941872,0.0282562,0.00941872
15,6031.36,0.01427,0.78775,1.2074,0.91161,0.92046,0.95242,0.61328,0.00988,0.48341,0.87099,0.028122,0.00937401,0.028122,0.00937401,0.028122,0.00937401,0.028122,0.00937401
16,6123.77,0.01417,0.77994,1.2021,0.92424,0.90528,0.95187,0.6112,0.00974,0.48843,0.85606,0.0279879,0.0093293,0.0279879,0.0093293,0.0279879,0.0093293,0.0279879,0.0093293
17,6216.88,0.01411,0.77245,1.19583,0.91103,0.8898,0.94519,0.61621,0.00975,0.50539,0.85547,0.0278537,0.00928458,0.0278537,0.00928458,0.0278537,0.00928458,0.0278537,0.00928458
18,6304.99,0.01405,0.76821,1.18752,0.92038,0.89162,0.95117,0.61864,0.00982,0.47875,0.84721,0.0277196,0.00923987,0.0277196,0.00923987,0.0277196,0.00923987,0.0277196,0.00923987
19,6394.48,0.01403,0.76219,1.191,0.91751,0.90164,0.94727,0.61571,0.00983,0.45486,0.84902,0.0275855,0.00919516,0.0275855,0.00919516,0.0275855,0.00919516,0.0275855,0.00919516
20,6483.48,0.01402,0.762,1.19696,0.91551,0.88822,0.93752,0.61776,0.00979,0.44235,0.85573,0.0274513,0.00915044,0.0274513,0.00915044,0.0274513,0.00915044,0.0274513,0.00915044
